412|18|150106
274|12|249119
182|20|144836
202|16|278490
477|21|1578
340|22|36429
149|9|150114
40|6|3071
209|17|421275
167|15|151029
274|23|1219
340|13|378102
167|20|101386
149|2|4108
66|23|22210
470|7|6826
30|19|282325
473|22|14562
174|10|85870
209|7|32967
249|19|249373
4|4|38
202|14|259888
472|12|159414
30|14|517811
372|20|66000
11|13|385582
209|8|74226
372|3|18
4|19|186216
167|6|14357
30|1|5024
472|3|16
470|21|25874
149|16|393630
11|18|357300
274|5|6
40|15|201885
60|18|161612
268|18|249283
218|20|133353
27|7|31152
171|3|1
160|18|558265
294|0|14
88|14|341334
401|1|2
46|20|134758
178|0|57
45|13|265123
218|15|300920
157|6|11766
99|20|95211
45|22|21078
171|8|27423
27|12|474850
474|19|180440
88|5|4316
294|11|231119
190|11|220393
401|10|172714
46|15|339746
471|0|12
178|11|283284
121|22|2009
473|15|208013
470|14|112684
340|4|1617
182|6|6867
40|20|73717
268|11|275378
88|23|29195
66|9|141294
45|4|9
412|15|160331
182|9|164549
99|6|4527
157|20|149557
471|18|163808
61|17|386448
147|19|248295
39|19|168891
258|0|25061
475|23|1711
272|14|283502
147|8|77632
272|21|44866
258|11|177681
122|19|168338
68|13|285107
60|0|27
171|17|190193
204|4|3236
294|18|283204
179|17|452437
218|6|6999
46|6|6784
471|9|51871
401|19|277430
160|0|17708
121|15|230580
178|18|237274
157|15|415365
474|10|164240
190|21|56603
179|6|10965
35|10|45893
60|15|202531
204|19|268688
474|5|125
39|10|119885
272|7|19103
476|18|20005
317|9|109222
208|22|72410
273|13|227239
166|12|248140
129|1|91
343|4|23
220|5|8
4|9|106429
166|23|1848
129|10|195407
273|22|21177
174|23|1707
35|17|109432
317|23|12878
129|23|5331
61|3|3
68|4|17
205|7|16118
82|6|8509
475|5|30
122|10|132876
147|1|4730
317|0|8784
68|19|161049
166|5|3
343|22|10108
122|5|91
82|17|381653
475|10|182958
61|12|294868
205|16|107452
208|15|614180
220|23|2283
273|4|13
477|17|23367
149|21|73094
209|21|74215
470|16|134186
40|10|87954
167|11|110651
372|6|6734
340|18|325320
274|8|35357
4|22|20894
149|14|362518
412|21|40628
66|19|243712
340|9|125196
30|23|21116
182|19|245920
167|16|176590
202|23|18714
274|19|136063
343|13|206044
202|10|140499
472|16|199684
11|1|6277
174|14|162178
4|0|196
220|12|177168
249|23|2324
372|16|285537
202|5|3050
209|12|390356
472|7|15640
11|22|49697
476|15|25372
274|1|2
30|5|2725
372|15|279849
249|8|76072
167|2|4533
171|7|15301
401|5|7
88|18|322872
160|22|70265
471|23|1126
66|12|413950
45|9|90769
218|16|337163
268|14|322436
268|21|51572
88|9|133116
190|15|280858
46|19|227020
294|15|319164
27|0|10995
60|21|37992
178|7|22921
45|18|246610
218|11|227968
157|2|4333
171|12|148571
401|14|277930
473|19|124636
149|7|30890
340|0|9782
182|13|422635
412|11|142644
99|10|204876
27|18|411578
477|12|18757
157|16|433241
66|5|2898
268|7|29258
45|0|11
39|15|264148
272|2|2
190|16|321645
35|7|8903
147|23|20345
204|22|57737
179|3|1058
39|20|99336
61|22|34788
68|9|97549
258|7|22615
272|9|126531
475|16|318437
147|12|387252
474|22|24210
178|14|315589
204|0|16141
99|17|338867
121|19|111819
294|22|2445
471|5|6
157|11|352098
46|10|166438
179|21|71184
171|21|34377
160|4|3520
218|2|56
27|9|177322
401|23|39906
88|0|17284
190|6|7202
204|15|413127
474|1|10
60|11|159299
258|21|99449
160|11|690928
179|10|260146
39|6|4498
35|14|98704
208|10|389359
273|1|104
317|5|2643
129|5|52
166|0|3
68|22|18338
205|21|45612
82|20|107747
208|17|625767
273|10|126013
129|14|323055
476|21|2811
166|11|208105
220|1|2
317|14|234051
343|0|63
272|16|301430
317|19|149100
35|21|28447
122|22|25145
147|5|3854
82|2|16
258|14|234808
68|0|51
205|12|85817
475|14|277468
61|8|75113
122|1|6
208|3|3782
82|13|332927
343|18|186922
220|19|164404
470|20|49623
209|9|151583
40|14|172410
4|18|298893
167|7|28441
472|2|300
372|2|15
249|5|53
149|17|398251
11|19|254673
30|0|9830
209|18|358929
412|17|183429
274|15|278028
202|19|151478
477|22|132
340|21|72573
149|10|226974
182|23|2588
167|12|137164
40|5|12
166|18|241285
11|5|3347
174|18|182403
343|9|72950
4|12|304520
273|19|153517
220|8|45122
472|20|91991
11|10|215275
174|5|38
476|11|14210
209|0|10199
372|11|248655
249|12|389022
202|1|6255
472|11|122135
30|9|188020
471|19|106088
66|8|73462
157|21|82896
88|22|49057
45|5|33
182|8|88833
99|7|19468
268|10|187748
412|14|151630
294|3|352
178|3|48
45|14|279033
401|2|1
160|17|727784
218|23|20556
88|13|333443
27|4|1264
268|17|332817
60|17|207979
46|23|4439
171|0|12
274|22|20033
167|21|67038
340|12|356798
149|3|2115
66|22|42344
470|6|2021
30|18|414169
473|23|496
182|1|24
470|9|37655
66|1|5353
40|19|126244
27|22|45355
473|8|30624
268|3|6
412|7|19016
99|14|343588
272|6|6604
179|7|32565
35|11|73527
204|18|399063
60|14|192201
190|20|105971
39|11|166086
474|4|4
61|18|359339
147|16|455745
258|3|4235
39|16|311661
475|20|106072
272|13|275663
190|10|159363
171|9|47349
294|10|164946
401|11|222296
46|14|316509
88|4|2656
157|7|33107
218|14|293897
27|13|498475
471|1|18
178|10|214804
99|21|39505
45|23|1936
474|18|259314
160|15|753062
178|21|43651
179|14|419541
471|14|145054
60|7|10709
204|11|332469
39|2|303
121|8|35736
474|13|293470
258|17|269432
273|5|22
205|17|142448
68|18|260719
220|22|31114
343|23|1104
82|16|371948
61|13|298910
122|4|23
317|1|4632
208|14|593686
475|11|243638
129|2|53
476|17|25548
273|14|232180
317|10|157327
208|21|139484
166|15|268055
272|20|89380
147|9|148743
122|18|242873
68|12|278119
258|10|120618
82|9|126480
129|16|380497
205|8|22518
122|13|219165
61|4|4
208|7|61746
167|3|3555
202|4|1937
472|6|4557
372|14|287775
11|23|26411
476|14|26026
30|4|2306
209|13|383776
249|9|145871
40|9|49577
477|18|19146
167|8|40437
149|22|39014
274|11|205230
470|19|82512
372|5|546
209|22|39157
4|21|57070
340|17|406209
343|5|88
4|8|57017
273|23|2091
220|4|24
166|22|23073
129|11|270119
174|22|26516
249|16|468674
372|23|1180
202|13|262055
4|7|15352
472|15|170764
209|4|1506
11|14|380899
174|9|56325
30|13|486345
157|17|403632
45|1|14
412|10|99708
99|11|304018
268|6|7023
27|19|278137
477|13|21449
182|12|416647
66|4|1480
473|5|12
160|21|131295
88|17|360794
45|10|149131
471|20|64371
268|13|295179
171|4|1
401|6|10580
66|15|451693
294|7|25274
218|19|212233
182|18|374886
40|0|6
149|15|384446
167|17|192578
66|18|358905
340|8|63082
30|22|46396
412|20|64877
274|18|198110
202|22|28784
340|7|25672
182|5|87
473|12|181200
470|13|107923
40|23|1319
35|15|108011
204|14|384110
60|10|101986
39|7|18804
258|20|149244
160|10|505508
474|0|28
179|11|358041
204|21|104337
39|12|209259
272|1|47
179|0|9826
190|19|174961
147|20|153750
27|1|3239
45|19|162056
171|13|150124
190|14|272674
46|18|340195
60|20|71020
294|14|279584
218|10|159921
268|20|93737
88|8|63584
157|3|3281
178|6|403
401|15|293741
60|3|44
179|18|344370
171|18|157432
46|5|17
471|10|76324
204|7|39633
218|5|139
178|17|319608
121|12|217106
157|12|412318
160|3|4280
474|9|98348
294|17|360919
401|16|342604
343|19|114370
82|12|323223
220|18|220700
61|9|138311
208|2|5260
475|15|296251
122|0|1
205|13|83315
317|6|8215
205|22|29139
82|23|1934
208|9|247124
273|2|4
129|6|6439
68|21|48253
258|6|10487
68|8|47693
272|8|56594
61|23|2243
475|17|311987
147|13|386046
39|21|50496
68|7|18486
82|5|138
61|0|7
35|18|107090
475|6|6251
147|2|2408
122|9|87777
317|20|94460
129|20|154087
11|11|319457
372|10|169777
476|10|9508
209|1|4408
30|8|102859
249|13|398712
174|4|3
202|0|11238
472|10|86469
11|16|425876
274|7|16668
40|13|165800
30|3|2640
4|17|379409
372|1|18
249|6|6114
167|4|2722
209|10|244757
470|23|909
149|18|330545
208|16|652569
220|0|9
166|10|149943
273|11|189380
129|15|355822
476|20|10204
343|1|17
317|15|248562
472|19|143233
249|20|148084
11|2|3301
343|14|201374
174|13|156990
220|15|196499
372|19|119394
4|3|187
202|9|86187
99|15|347131
268|2|389
477|9|3752
182|0|22
473|9|60563
66|0|10136
27|23|22004
470|8|17545
412|6|5236
40|18|187867
45|6|5631
471|16|188947
268|9|122715
66|11|346657
157|22|41019
412|13|151814
182|11|367921
88|21|85340
340|20|135753
412|16|177368
274|14|274156
182|22|29738
202|18|213899
167|13|139150
209|19|244969
149|11|317109
40|4|5
149|4|1941
473|16|229288
340|3|1890
258|16|257588
39|3|39
160|14|748273
60|6|32
474|12|288456
179|15|441126
471|15|166881
204|10|234037
178|20|92553
121|9|68100
121|2|3
190|23|1532
179|4|977
35|8|18394
60|13|192628
204|17|467259
474|7|19257
272|5|4
39|8|44546
401|3|1
88|12|336839
45|15|298439
60|16|210919
218|22|39075
268|16|358337
294|2|5
171|1|10
160|16|795156
27|5|3687
178|2|51
46|22|34816
121|16|246704
178|13|315370
474|21|54445
218|1|70
157|8|70468
190|5|7
99|18|256369
88|3|2349
160|7|69801
171|22|16443
27|10|299463
401|20|179556
179|22|37701
294|21|53162
46|9|104202
471|6|2283
204|3|3697
208|6|22103
129|17|410465
61|5|25
82|8|74839
205|9|32924
122|12|223370
220|21|63276
166|7|15487
68|17|331309
317|2|2022
343|20|62617
122|7|19989
61|14|310370
82|19|188910
475|8|63120
205|18|141138
273|6|5408
208|13|560490
475|21|53435
35|1|2
258|2|5785
61|19|267502
147|17|452496
39|17|331461
272|12|270372
122|21|53748
147|6|10436
35|22|1892
258|13|226562
82|1|4
68|3|12
272|19|145912
317|16|249079
209|5|4105
4|6|344
30|12|491452
202|12|259286
472|14|163454
249|17|470520
11|15|391491
174|8|33793
372|22|15663
372|13|273812
249|10|227483
167|0|18170
202|7|24322
30|7|35655
472|5|5
11|20|152864
476|13|22133
209|14|384320
129|3|34
476|16|26808
317|11|206251
208|20|238357
166|14|255237
273|15|259288
174|17|202880
220|11|139040
343|10|102864
4|15|339515
472|23|611
273|16|292954
166|17|275029
11|6|10223
40|22|16378
473|13|190213
340|6|9721
470|12|105244
182|4|43
66|7|32577
27|16|537631
157|18|316434
473|6|3417
412|9|69757
99|8|55744
182|15|426311
477|14|23058
45|2|73
268|5|24
470|18|117136
274|10|140115
372|4|12
340|16|410423
477|19|11717
149|23|22769
40|8|31397
209|23|21106
4|20|109484
167|9|55301
149|0|12406
66|21|78387
470|5|12
30|17|529843
473|20|76031
167|22|43845
274|21|39297
340|15|383121
294|16|353482
218|4|56
179|19|231916
178|16|337081
160|2|5179
471|11|107209
204|6|13778
171|19|111690
121|13|214744
157|13|398950
60|2|19
401|17|380259
474|8|54274
179|8|85329
39|4|26
35|12|86459
204|13|377487
121|6|2129
60|9|55883
258|23|42921
160|9|341327
474|3|8
88|16|373644
294|6|44
401|7|31591
268|12|305599
160|20|220267
471|21|32924
66|14|433493
171|5|4
45|11|222431
218|18|302559
294|9|103122
474|17|318839
99|22|19728
190|9|110599
88|7|30257
171|10|83004
471|2|103
178|9|124814
401|8|64095
46|13|294339
121|20|62716
27|14|482365
218|13|264490
45|20|97132
157|4|2441
61|1|8
129|21|86971
68|6|4587
475|7|21914
317|21|51375
82|4|39
122|8|50446
205|5|14
35|19|83497
147|3|1873
220|17|240457
205|14|77914
475|12|273950
61|10|210931
208|1|10907
82|15|330194
122|3|44
343|16|257218
204|20|174462
39|13|219906
190|18|272357
147|21|83729
179|1|3435
35|5|3
68|15|315088
147|10|235879
272|23|713
122|17|295671
258|9|73932
202|8|44075
372|18|195360
472|18|195901
11|3|2255
174|12|144228
220|14|179571
249|21|79924
4|2|214
343|15|221936
472|9|52429
209|2|3190
11|8|71496
174|7|13329
476|9|4739
30|11|411288
372|9|99367
249|14|388078
202|3|2416
317|7|25680
82|22|22953
208|8|126035
205|23|1275
129|7|30166
68|20|98805
166|21|54889
129|8|71329
273|20|92447
174|21|49760
343|6|4008
220|7|25861
4|11|264869
340|2|2467
149|5|3875
473|17|230558
182|3|357
473|10|91948
27|20|178005
268|1|2
412|5|38
477|10|9138
470|11|89170
66|3|1678
40|17|241696
99|12|342987
372|0|5
209|11|339833
40|12|157681
470|22|12952
30|2|2846
274|6|3489
4|16|384193
167|5|4951
11|17|427570
249|7|28780
149|19|200880
40|3|25
30|21|92469
182|17|470183
167|18|187537
340|11|296555
202|21|57986
274|17|258472
149|12|343122
412|23|1749
66|17|449930
27|11|408937
204|2|4260
474|20|110416
171|23|1653
218|0|1416
46|8|61872
294|20|103767
401|21|107369
160|6|25776
88|2|4183
121|17|237074
157|9|129295
179|23|19498
178|12|312511
471|7|10042
99|19|159323
474|15|316113
121|10|126673
258|19|210406
60|5|81
160|13|717486
471|12|135806
179|12|412804
178|23|1150
39|0|42
204|9|150171
412|12|155920
471|17|203548
99|5|22
45|7|20016
66|10|240200
157|23|25644
88|20|151285
182|10|257959
473|3|4
268|8|78487
27|2|2273
60|23|125
171|14|157519
45|16|318287
178|5|192
46|17|403081
218|9|97576
401|12|261693
157|0|15000
294|13|259156
88|11|275203
268|23|9748
190|13|258684
317|17|260808
122|20|104554
205|1|2
147|7|29625
82|0|4
258|12|220874
35|23|16
68|2|30
272|18|228477
122|15|236807
61|6|5748
208|5|6835
82|11|311610
129|18|338610
475|0|8
205|10|48727
60|12|183424
474|6|5217
272|4|5
179|5|2829
35|9|29649
204|16|451456
190|22|23439
39|9|68466
272|11|233433
61|20|163371
475|18|255627
147|14|408122
39|22|20966
258|5|3469
68|11|243252
11|7|34496
174|16|192320
343|11|156546
4|14|311118
273|17|316066
220|10|92485
472|22|26188
166|16|284684
174|11|122753
30|15|521608
249|18|372633
372|21|32582
202|15|275912
4|5|186
472|13|164111
209|6|11872
11|12|389692
122|6|6319
273|7|20805
166|6|4086
82|18|293010
61|15|331393
205|19|111479
343|21|26147
220|20|109151
317|3|1331
475|9|118186
68|16|328593
208|12|574288
273|8|45982
129|12|322955
166|9|88595
220|3|79
317|12|232420
343|2|57
208|19|358812
149|1|5599
66|20|144912
167|23|32706
274|20|86676
30|16|552304
473|21|36855
340|14|389182
340|5|3949
182|7|32853
473|14|190080
470|15|124500
40|21|39453
249|11|320898
167|1|8243
202|6|7489
209|15|382343
472|4|5
372|12|281984
11|21|87074
476|12|21001
30|6|10529
274|13|260858
202|17|273942
477|20|6381
340|23|19311
